site_2018,camp_ssid_2023,camp_name_2023,overlap_ha,area_ha_2018,primary_overlap_pct,match_confidence,match_status,nearest_camp_ssid,nearest_camp_name,nearest_distance_m,notes
Camp 12,CXB-218,Camp 12,48.8992477425608,49.0036897779245,99.786869038154,High,matched_primary_overlap,,,,
Chakmarkul,CXB-108,Camp 21,16.6227351260671,16.8271580084464,98.7851609744395,High,matched_primary_overlap,,,,
Camp 8E,CXB-210,Camp 8E,51.9798083522608,52.6270861657063,98.7700671638794,High,matched_primary_overlap,,,,
Camp 5,CXB-209,Camp 5,48.5326666236938,49.5413915943567,97.9638743721163,High,matched_primary_overlap,,,,
Camp 11,CXB-217,Camp 11,38.5472874634453,39.5523086105032,97.4590076221468,High,matched_primary_overlap,,,,
Camp 4,CXB-206,Camp 4,87.164419471047,89.368172910893,97.5340735207339,High,matched_primary_overlap,,,,
Camp 14,CXB-222,Camp 14,54.0625105712306,54.2504799268211,99.6535157737884,High,matched_primary_overlap,,,,
Camp 13,CXB-220,Camp 13,52.7790323003329,53.0313608665091,99.5241899094172,High,matched_primary_overlap,,,,
Camp 10,CXB-214,Camp 10,46.4610096407066,46.6558548788212,99.5823777345402,High,matched_primary_overlap,,,,
Kutupalong RC,CXB-221,Kutupalong RC,28.7199504607333,28.9078566856414,99.3499821624566,High,matched_primary_overlap,,,,
Leda MS,CXB-233,Camp 24,7.7534584109726,7.83938382203047,98.9039264691135,High,matched_primary_overlap,,,,
Nayapara RC,CXB-089,Nayapara RC,15.0589556987282,15.4924290713019,97.2020309366679,High,matched_primary_overlap,,,,
Nayapara EXP,CXB-025,Camp 26,41.075271755401,51.2195718504185,80.1944847867082,Moderate,matched_primary_overlap,,,,
Camp 8W,CXB-211,Camp 8W,73.7689816820169,74.4011334877767,99.1503465389224,High,matched_primary_overlap,,,,
Camp 1E,CXB-201,Camp 1E,50.6613056204231,54.8650654141892,92.3380027672783,Moderate,matched_primary_overlap,,,,
Fishery para,CXB-017,Camp 25,1.09411785468399,1.09411785468399,100,High,matched_primary_overlap,,,,
Camp 7,CXB-207,Camp 7,53.7176158969063,54.2533595539385,99.0125152406468,High,matched_primary_overlap,,,,
Camp 6,CXB-208,Camp 6,32.3093153340898,33.0316057715128,97.8133353781853,High,matched_primary_overlap,,,,
Camp 9,CXB-213,Camp 9,39.7572637293921,39.8964144913146,99.6512198810427,High,matched_primary_overlap,,,,
Camp 19,CXB-219,Camp 19,45.4210265394337,45.446499660614,99.9439492119954,High,matched_primary_overlap,,,,
Shal Bagan,CXB-025,Camp 26,16.5771395269773,16.5771397204389,99.9999988329617,High,matched_primary_overlap,,,,
Camp 1W,CXB-202,Camp 1W,38.4753914895556,38.4894594463662,99.9634498457163,High,matched_primary_overlap,,,,
Camp 20,CXB-216,Camp 20,18.6102318592855,18.7665737776711,99.166912830025,High,matched_primary_overlap,,,,
Jadimura,CXB-037,Camp 27,32.8981617587586,36.9734773875065,88.9777323727603,Moderate,matched_primary_overlap,,,,
Leda B,CXB-233,Camp 24,7.30242457997837,7.30242457997837,100,High,matched_primary_overlap,,,,
Unchiprang,CXB-085,Camp 22,23.0736989066837,23.5126083620917,98.1333017219999,High,matched_primary_overlap,,,,
Leda A,CXB-233,Camp 24,17.5761982970699,17.6314552119842,99.6866003727431,High,matched_primary_overlap,,,,
Leda D,CXB-017,Camp 25,22.866690904592,26.376748479238,86.6926070231556,Moderate,matched_primary_overlap,,,,
Leda C,CXB-233,Camp 24,12.2831380324422,12.5218861563775,98.093353341871,High,matched_primary_overlap,,,,
Domdumia,CXB-037,Camp 27,2.64352971656366,2.64352990035116,99.9999930476481,High,matched_primary_overlap,,,,
Camp 2E,CXB-203,Camp 2E,31.519640933846,32.7293776493522,96.3038199856202,High,matched_primary_overlap,,,,
Camp 16,CXB-224,Camp 16,23.5332001342183,23.5388876889525,99.9758376232156,High,matched_primary_overlap,,,,
Camp 15,CXB-223,Camp 15,62.6423667336573,62.6953375866981,99.9155106981162,High,matched_primary_overlap,,,,
Camp 18,CXB-215,Camp 18,62.3192924224107,62.4359233610418,99.8131989848911,High,matched_primary_overlap,,,,
Camp 3,CXB-205,Camp 3,39.4914435692777,40.883712081609,96.5945643351755,High,matched_primary_overlap,,,,
Camp 17,CXB-212,Camp 17,69.9663341577576,70.4332392320611,99.3370955540392,High,matched_primary_overlap,,,,
Camp 2W,CXB-204,Camp 2W,29.1037438725351,29.1903469421987,99.7033160659752,High,matched_primary_overlap,,,,
Shamlapur,,,0,218.148687331574,0,Unmatched,unmatched_no_overlap,CXB-085,Camp 22,4462.785985,No intersection with the 2023 A1 camp layer; nearest camp was 4.46 km away; no forced match assigned.
