Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G000_000,0,0,22.1955,91.9045,113.2,donor_candidate,1.0,0.149,7.5,193,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_001,0,1,22.1955,91.9135,112.99,donor_candidate,1.0,0.073,4.0,95,0.0,0.0,0,forest_absent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_002,0,2,22.1955,91.9225,112.78,donor_candidate,1.0,0.079,4.1,102,0.0,0.0,0,forest_absent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_003,0,3,22.1955,91.9315,112.58,donor_candidate,1.0,0.168,9.2,218,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_004,0,4,22.1955,91.9405,112.39,donor_candidate,0.998,0.045,2.4,58,0.0,0.0,0,forest_absent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_005,0,5,22.1955,91.9495,112.21,donor_candidate,0.963,0.114,6.1,148,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_006,0,6,22.1955,91.9585,112.03,donor_candidate,0.988,0.191,10.3,248,0.0081,0.0081,1,,0.01243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00806,0.0,0.0,0.0,0.0
G000_007,0,7,22.1955,91.9675,111.86,donor_candidate,0.994,0.27,14.9,350,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_008,0,8,22.1955,91.9765,111.7,donor_candidate,1.0,0.235,12.7,304,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_009,0,9,22.1955,91.9855,111.54,donor_candidate,1.0,0.255,14.0,330,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_010,0,10,22.1955,91.9945,111.4,donor_candidate,1.0,0.004,0.4,5,0.0,0.0,0,forest_absent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_011,0,11,22.1955,92.0035,111.26,donor_candidate,1.0,0.049,2.6,63,0.0,0.0,0,forest_absent,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_012,0,12,22.1955,92.0125,111.12,donor_candidate,1.0,0.15,8.6,195,0.0051,0.0051,1,,0.01246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00513,0.0,0.0,0.0,0.0
G000_013,0,13,22.1955,92.0215,111.0,donor_candidate,1.0,0.117,6.3,152,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_014,0,14,22.1955,92.0305,110.88,donor_candidate,1.0,0.255,13.8,331,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_015,0,15,22.1955,92.0395,110.78,donor_candidate,0.978,0.171,10.0,221,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_016,0,16,22.1955,92.0485,110.67,donor_candidate,0.982,0.21,12.6,272,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_017,0,17,22.1955,92.0575,110.58,donor_candidate,1.0,0.139,7.9,180,0.0,0.0,1,,0.01262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G000_018,0,18,22.1955,92.0665,110.5,donor_candidate,1.0,0.08,4.3,104,0.0769,0.6538,0,forest_absent,,0.02885,0.02885,0.00962,0.0,0.0,0.00962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
